post_message
Voters will be asked ‘Should the United Kingdom remain a member of the European Union? when they go to the polls for the in/out referendum  it has been confirmed.  In response UKIP Leader Nigel Farage said:  It is a simple straightforward  unambiguous question. That much is clear.   However that Cameron is opting to give the pro-EU side the positive  Yes  suggests strongly that his negotiations are so much fudge. He has already decided which way he wants the answer to be given  without a single power repatriated. 
UKIP Deputy Leader Paul Nuttall MEP: “Sepp Blatter’s position as FIFA president was already on shaky ground but now surely no one will argue that it is in any way tenable.  “Pretty much all of the crimes being alleged happened on his watch. If he knew about it  then he should be prosecuted. If he didn’t know about it  then he wasn’t doing his job properly and should be removed.   Grassroots football in some of the world’s poorest countries and fans everywhere are the apparent victims of these crimes.  “Only a root and branch clear out at FIFA will satisfy them that we’re cleaning up the game once and for all.”
UKIP MEP Louise Bours said:  The EU continues to suffer economic and unemployment disaster yet the EC wastes taxpayers  money to decide how much coffee adults should drink.   This study by the EU food safety quango is absurd and wasteful. Its findings are patronising for pregnant women. They have medical advice. They don t need bossy Brussels. 
Draft European Union (Referendum) Bill does not guarantee a free and fair referendum  says UKIP Chairman Steve Crowther. Read more here: http://www.ukip.org/bill_does_not_guarantee_a_free_and_fair_referendum_says_ukip_chairman
EU enabling trafficking of girls through open borders says Louise Bours MEP
UKIP Chairman Steve Crowther said: “The European Referendum Bill fails to mandate a period of ‘purdah’  normal in elections  to prevent the government from making announcements in the run-up which might affect the result.  “With no guarantee from the Government that they will set and enforce fair and equal spending limits  this omission leaves the door open for the government or indeed the European Union’s agencies to make ever more appealing announcements  right up to polling day  to ‘nudge’ people towards a vote to stay in.”  “The people have waited 40 years for this opportunity and they must be given a free  fair and open choice to decide whether we stay in the EU  or reclaim our ability to govern ourselves. The government will not be forgiven if they play tricks with it.”
UKIP s Jonathan Arnott MEP s top 5 reasons to leave the European Union. What s your top 5?  Leave your top 5 in the comments below...
UKIP Leader Nigel Farage:  The UK would be better off out of the European Union. Better able to trade freely and fairly with the wider world  better because it could set its own rules to suit its own circumstances  better because we would be able to elect and dismiss our Government  rather than accept the governance of an unelected bureaucracy.   Agree? Then why not join UKIP  the only party that believes Britain is more than a star on somebody else s flag.
Read: Nigel Farage s latest #FarageOnFriday article.  The EU referendum is not about benefits  it’s about who governs Britain.
What this Referendum is really about isn’t the details of benefits policy  but about who governs Britain - Nigel Farage.  If you agree  why not LIKE & SHARE this post to spread the word.
Labour s battle with UKIP in Wales - UKIP has come from nowhere to now challenge Labour across Wales  Sam Gould who led the successful UKIP Caerphilly campaign said  We ve only been organised as a party for a matter of three months [in Caerphilly] and so for us to get to 20% of the vote after only organising ourselves and running a three month campaign is tremendous. So what can we do in a year?   Give UK Independence Party (UKIP) Wales. a like to keep up to date with our campaigns there!
